input "moment zwyk³y 1 rzêdu" Input^2 "moment zwyk³y 2 rzêdu" "œrednia wartoœæ" "Input – œrednia" "Moment centralny 1 rzêdu" (Input-œr)^2 "Moment centralny 2 rzêdu" "odchylenie standardowe" "odchylenie przeciêtne" "odchylenie przecietne"
1,019774218 1,0686844444 1,0399394557 2,2044546199 1,0686844444 -0,0489102264 -5,25135490647699E-016 0,0023922102 1,0623681782 1,0307124615 0,0489102264 0,7479377608
2,223507711  4,9439865409   1,1548232666  1,3336167771   1,1548232666 
0,488472663  0,2386055425   -0,5802117814  0,3366457113   0,5802117814 
1,74774941  3,0546280002   0,6790649656  0,4611292275   0,6790649656 
0,403842196  0,1630885193   -0,6648422484  0,4420152152   0,6648422484 
0,374325471  0,1401195582   -0,6943589734  0,4821343839   0,6943589734 
1,884994263  3,5532033715   0,8163098186  0,66636172   0,8163098186 
0,678676042  0,46060117   -0,3900084024  0,1521065539   0,3900084024 
0,141333222  0,0199750796   -0,9273512224  0,8599802897   0,9273512224 
0,128236588  0,0164446225   -0,9404478564  0,8844421706   0,9404478564 
0,125794334  0,0158242145   -0,9428901104  0,8890417603   0,9428901104 
1,228234926  1,5085610334   0,1595504816  0,0254563562   0,1595504816 
1,065333955  1,1349364357   -0,0033504894  1,12257791525058E-005   0,0033504894 
0,717793  0,5152267908   -0,3508914444  0,1231248057   0,3508914444 
1,977206977  3,9093474299   0,9085225326  0,8254131923   0,9085225326 
1,778943918  3,1646414634   0,7102594736  0,5044685199   0,7102594736 
1,552895768  2,4114852663   0,4842113236  0,2344606059   0,4842113236 
0,403429462  0,1627553308   -0,6652549824  0,4425641916   0,6652549824 
3,854335006  14,8558983385   2,7856505616  7,7598490514   2,7856505616 
0,582151878  0,3389008091   -0,4865325664  0,2367139382   0,4865325664 
1,089527018  1,187069123   0,0208425736  0,0004344129   0,0208425736 
0,145249524  0,0210974242   -0,9234349204  0,8527320522   0,9234349204 
0,260508712  0,067864789   -0,8081757324  0,6531480144   0,8081757324 
0,261632898  0,0684517733   -0,8070515464  0,6513321985   0,8070515464 
0,114285572  0,013061192   -0,9543988724  0,9108772076   0,9543988724 
0,384420788  0,1477793422   -0,6842636564  0,4682167515   0,6842636564 
0,644288948  0,4151082485   -0,4243954964  0,1801115374   0,4243954964 
0,840572166  0,7065615663   -0,2281122784  0,0520352116   0,2281122784 
0,258872633  0,0670150401   -0,8098118114  0,6557951699   0,8098118114 
1,472218927  2,167428569   0,4035344826  0,1628400787   0,4035344826 
4,045043915  16,3623802743   2,9763594706  8,8587156983   2,9763594706 
1,521298611  2,3143494638   0,4526141666  0,2048595838   0,4526141666 
0,857117478  0,7346503711   -0,2115669664  0,0447605813   0,2115669664 
0,995446508  0,9909137503   -0,0732379364  0,0053637953   0,0732379364 
0,049143678  0,0024151011   -1,0195407664  1,0394633743   1,0195407664 
0,540271691  0,2918935001   -0,5284127534  0,2792200379   0,5284127534 
0,858304188  0,7366860791   -0,2103802564  0,0442598523   0,2103802564 
1,073826809  1,1531040157   0,0051423646  2,64439137821754E-005   0,0051423646 
4,570702242  20,891318985   3,5020177976  12,2641286548   3,5020177976 
1,139099444  1,2975475433   0,0704149996  0,0049582722   0,0704149996 
1,533658215  2,3521075204   0,4649737706  0,2162006074   0,4649737706 
1,413991805  1,9993728246   0,3453073606  0,1192371733   0,3453073606 
0,189764916  0,0360107233   -0,8789195284  0,7724995374   0,8789195284 
1,462284885  2,1382770849   0,3936004406  0,1549213068   0,3936004406 
0,125749914  0,0158130409   -0,9429345304  0,8891255286   0,9429345304 
2,556178865  6,5340503899   1,4874944206  2,2126396513   1,4874944206 
0,157726243  0,0248775677   -0,9109582014  0,8298448447   0,9109582014 
1,399193352  1,9577420363   0,3305089076  0,109236138   0,3305089076 
2,347394583  5,5102613283   1,2787101386  1,6350996186   1,2787101386 
0,489221876  0,239338044   -0,5794625684  0,3357768682   0,5794625684 
1,667588138  2,780850198   0,5989036936  0,3586856342   0,5989036936 
0,05798322  0,0033620538   -1,0107012244  1,021516965   1,0107012244 
0,650961419  0,423750769   -0,4177230254  0,1744925259   0,4177230254 
0,116970412  0,0136820773   -0,9517140324  0,9057595994   0,9517140324 
1,971160557  3,8854739415   0,9024761126  0,8144631338   0,9024761126 
0,903449543  0,8162210767   -0,1652349014  0,0273025726   0,1652349014 
1,492027329  2,2261455505   0,4233428846  0,1792191979   0,4233428846 
1,168702337  1,3658651525   0,1000178926  0,0100035788   0,1000178926 
0,492967221  0,243016681   -0,5757172234  0,3314503213   0,5757172234 
0,358824346  0,1287549113   -0,7098600984  0,5039013593   0,7098600984 
1,057110058  1,1174816747   -0,0115743864  0,0001339664   0,0115743864 
0,342382689  0,1172259057   -0,7263017554  0,5275142399   0,7263017554 
0,497675854  0,2476812557   -0,5710085904  0,3260508103   0,5710085904 
0,362224627  0,1312066804   -0,7064598174  0,4990854736   0,7064598174 
0,735877213  0,5415152726   -0,3328072314  0,1107606533   0,3328072314 
0,245964291  0,0604984324   -0,8227201534  0,6768684508   0,8227201534 
0,254264357  0,0646503632   -0,8144200874  0,6632800787   0,8144200874 
0,989226813  0,9785696876   -0,0794576314  0,0063135152   0,0794576314 
0,16768455  0,0281181083   -0,9009998944  0,8118008097   0,9009998944 
0,609453947  0,3714341135   -0,4592304974  0,2108926497   0,4592304974 
1,012495747  1,0251476377   -0,0561886974  0,0031571697   0,0561886974 
0,524972822  0,2755964638   -0,5437116224  0,2956223283   0,5437116224 
1,13550632  1,2893746028   0,0668218756  0,0044651631   0,0668218756 
0,791954507  0,6271919412   -0,2767299374  0,0765794582   0,2767299374 
3,124339661  9,7614983173   2,0556552166  4,2257183696   2,0556552166 
1,431520622  2,0492512912   0,3628361776  0,1316500918   0,3628361776 
